"Node...1.","Node...2.","Wt"
"OoCyte_1","OoCyte_2",56
"OoCyte_1","OoCyte_3",54
"OoCyte_1","Zygote_1",54
"OoCyte_1","Zygote_2",51
"OoCyte_1","Zygote_3",51
"OoCyte_1","2_Cell_embryo_1_Cell_1",48
"OoCyte_1","2_Cell_embryo_1_Cell_2",47
"OoCyte_1","2_Cell_embryo_2_Cell_1",48
"OoCyte_1","2_Cell_embryo_2_Cell_2",46
"OoCyte_1","2_Cell_embryo_3_Cell_1",46
"OoCyte_1","2_Cell_embryo_3_Cell_2",43
"OoCyte_1","4_Cell_embryo_1_Cell_4",27
"OoCyte_1","4_Cell_embryo_2_Cell_1",28
"OoCyte_1","4_Cell_embryo_2_Cell_2",36
"OoCyte_1","4_Cell_embryo_2_Cell_4",35
"OoCyte_1","4_Cell_embryo_3_Cell_1",38
"OoCyte_1","4_Cell_embryo_3_Cell_3",37
"OoCyte_1","4_Cell_embryo_3_Cell_4",36
"OoCyte_1","8_Cell_embryo_1_Cell_2",30
"OoCyte_1","8_Cell_embryo_1_Cell_4",25
"OoCyte_1","4_Cell_embryo_3_Cell_2",36
"OoCyte_1","8_Cell_embryo_1_Cell_1",28
"OoCyte_1","4_Cell_embryo_1_Cell_1",35
"OoCyte_1","4_Cell_embryo_2_Cell_3",35
"OoCyte_1","4_Cell_embryo_1_Cell_2",31
"OoCyte_1","8_Cell_embryo_1_Cell_3",27
"OoCyte_1","8_Cell_embryo_2_Cell_2",7
"OoCyte_1","8_Cell_embryo_2_Cell_3",10
"OoCyte_1","8_Cell_embryo_3_Cell_2",11
"OoCyte_1","8_Cell_embryo_3_Cell_3",9
"OoCyte_1","8_Cell_embryo_3_Cell_4",14
"OoCyte_1","8_Cell_embryo_3_Cell_7",14
"OoCyte_1","8_Cell_embryo_3_Cell_8",7
"OoCyte_1","Morulae_2_Cell_1",7
"OoCyte_1","Late_blastoCyst_1_Cell_4",1
"OoCyte_1","Late_blastoCyst_1_Cell_8",1
"OoCyte_1","Late_blastoCyst_1_Cell_9",1
"OoCyte_1","Late_blastoCyst_1_Cell_11",2
"OoCyte_1","Late_blastoCyst_1_Cell_12",2
"OoCyte_1","Late_blastoCyst_2_Cell_1",2
"OoCyte_1","Late_blastoCyst_2_Cell_3",1
"OoCyte_1","Late_blastoCyst_2_Cell_4",3
"OoCyte_1","Late_blastoCyst_2_Cell_5",3
"OoCyte_1","Late_blastoCyst_2_Cell_6",3
"OoCyte_1","Late_blastoCyst_2_Cell_7",4
